                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1365,                 1.4318,                 1.3083,                 1.3096,                 1.6136,                 1.3028,                0.39464,                0.40242,                0.31937,                0.18037,                 1.2729,                 1.4791,                 1.3928,                 1.4388,                 1.5919,                 1.3831,              0.0002576,              0.0002576,              0.0002576
                     34,                 1.1248,                 1.4157,                 1.3184,                 1.3051,                 1.6016,                 1.3137,                0.35718,                 0.4147,                0.31969,                 0.1762,                 1.2934,                 1.5177,                 1.4074,                 1.4424,                 1.6115,                 1.3904,             0.00024439,             0.00024439,             0.00024439
                     35,                 1.1122,                 1.3758,                 1.2924,                 1.3074,                 1.5431,                 1.2776,                0.43617,                0.41096,                0.33746,                0.19004,                 1.3179,                 1.4828,                 1.4121,                 1.4678,                 1.6157,                 1.3864,             0.00023118,             0.00023118,             0.00023118
                     36,                 1.1003,                 1.3548,                  1.301,                 1.2658,                 1.5253,                 1.2863,                0.43424,                0.42118,                0.32352,                0.18094,                 1.2767,                 1.4922,                 1.3911,                 1.4236,                 1.5973,                 1.3722,             0.00021798,             0.00021798,             0.00021798
                     37,                 1.1094,                  1.355,                  1.327,                 1.2711,                 1.5306,                 1.3149,                0.40147,                0.39892,                0.32985,                0.19053,                 1.2591,                 1.4512,                 1.3679,                 1.4062,                 1.5762,                 1.3484,             0.00020477,             0.00020477,             0.00020477
                     38,                 1.0643,                 1.3165,                 1.2703,                 1.2503,                 1.4987,                 1.2671,                0.33048,                0.39881,                0.32877,                0.18698,                 1.2682,                 1.4741,                 1.3729,                 1.4122,                 1.5976,                 1.3566,             0.00019156,             0.00019156,             0.00019156
                     39,                 1.0486,                 1.2999,                 1.2692,                 1.2288,                 1.4731,                 1.2698,                 0.3245,                0.41276,                0.31308,                0.17849,                 1.2546,                 1.4615,                  1.366,                 1.4019,                 1.5932,                 1.3472,             0.00017836,             0.00017836,             0.00017836
                     40,                 1.0398,                 1.2825,                 1.2792,                 1.2112,                 1.4734,                  1.287,                0.36801,                0.45082,                0.33855,                0.19372,                 1.2577,                 1.4834,                 1.3749,                 1.3974,                 1.5802,                 1.3513,             0.00016515,             0.00016515,             0.00016515
                     41,                 1.0481,                 1.2015,                 1.2413,                 1.2398,                 1.3222,                 1.2555,                 0.3607,                0.44909,                0.33478,                0.19105,                  1.265,                 1.4896,                  1.377,                 1.4038,                 1.6006,                 1.3683,             0.00015194,             0.00015194,             0.00015194
                     42,                  1.028,                 1.1865,                  1.229,                 1.1992,                 1.3103,                 1.2457,                0.41844,                0.39141,                0.33163,                0.19247,                  1.281,                 1.4813,                  1.385,                 1.4095,                 1.6162,                 1.3683,             0.00013874,             0.00013874,             0.00013874
                     43,                 1.0196,                 1.1675,                 1.2296,                 1.1938,                 1.2841,                  1.238,                 0.3801,                0.42911,                0.33633,                0.19381,                 1.2243,                  1.462,                 1.3541,                  1.369,                 1.5732,                 1.3364,             0.00012553,             0.00012553,             0.00012553
                     44,                0.98829,                 1.1324,                 1.2166,                 1.1603,                 1.2475,                 1.2236,                0.39842,                0.38475,                0.32173,                0.18257,                 1.2343,                 1.4768,                 1.3523,                 1.3962,                 1.6359,                 1.3513,             0.00011232,             0.00011232,             0.00011232
                     45,                0.97545,                 1.1071,                 1.1997,                 1.1516,                 1.2271,                 1.2102,                0.38484,                0.40929,                0.33654,                0.18977,                 1.2134,                 1.4569,                 1.3447,                 1.3659,                 1.6051,                 1.3247,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     46,                0.96476,                 1.0821,                 1.2049,                 1.1548,                 1.2003,                 1.2087,                0.36257,                0.44709,                0.34321,                0.20133,                 1.2073,                 1.4413,                  1.341,                 1.3672,                 1.5641,                 1.3291,              8.591e-05,              8.591e-05,              8.591e-05
                     47,                0.93912,                  1.036,                 1.1706,                  1.126,                 1.1472,                 1.1828,                0.37279,                0.44322,                0.36013,                0.20825,                 1.1916,                 1.4388,                  1.339,                 1.3512,                 1.5669,                 1.3379,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     48,                0.93457,                 1.0368,                 1.1735,                 1.1273,                 1.1522,                 1.1865,                0.36218,                0.45379,                0.34145,                0.19902,                 1.1892,                 1.4669,                 1.3324,                 1.3558,                 1.5885,                 1.3208,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     49,                0.91454,                  1.021,                 1.1626,                  1.093,                 1.1392,                 1.1793,                0.34777,                0.46838,                0.34334,                0.19826,                 1.1945,                 1.4642,                 1.3336,                 1.3705,                 1.5997,                 1.3312,              4.629e-05,              4.629e-05,              4.629e-05
                     50,                0.92051,                 1.0032,                 1.1676,                 1.1047,                 1.1163,                 1.1844,                0.34102,                0.46333,                 0.3342,                 0.1949,                 1.1937,                 1.4605,                 1.3307,                  1.375,                 1.5936,                 1.3234,             3.3083e-05,             3.3083e-05,             3.3083e-05
