                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0991,                0.89731,                 1.0997,                 1.2831,                 1.1756,                 1.0666,                0.63812,                0.64683,                0.66632,                0.43111,                 1.3311,                 1.0949,                 1.1812,                 1.4797,                 1.3602,                 1.1439,             0.00029699,             0.00029699,             0.00029699
                     34,                 1.1068,                 0.8923,                 1.0961,                 1.3055,                 1.1817,                 1.0603,                0.72895,                0.63856,                0.69365,                0.44853,                 1.3273,                 1.0587,                 1.1781,                 1.4627,                  1.348,                 1.1415,             0.00028176,             0.00028176,             0.00028176
                     35,                 1.1038,                0.87052,                 1.0936,                 1.3118,                 1.1596,                 1.0588,                0.70053,                0.63394,                 0.6832,                0.44635,                  1.315,                 1.0356,                 1.1724,                 1.4796,                 1.3124,                 1.1402,             0.00026654,             0.00026654,             0.00026654
                     36,                 1.1203,                0.88283,                 1.0934,                 1.3173,                 1.1677,                 1.0602,                0.67137,                0.66143,                0.68399,                0.44939,                 1.3109,                 1.0678,                 1.1608,                 1.4665,                 1.3261,                 1.1265,             0.00025131,             0.00025131,             0.00025131
                     37,                  1.085,                0.85062,                 1.0824,                 1.2886,                 1.1332,                 1.0502,                0.68108,                0.66247,                0.68447,                0.44499,                 1.3202,                 1.0381,                 1.1736,                 1.4708,                 1.3095,                 1.1342,             0.00023608,             0.00023608,             0.00023608
                     38,                 1.0837,                 0.8506,                 1.0866,                 1.3001,                 1.1327,                 1.0581,                0.69851,                0.67612,                0.70569,                0.45547,                 1.2981,                 1.0432,                 1.1603,                 1.4473,                 1.2907,                 1.1256,             0.00022086,             0.00022086,             0.00022086
                     39,                 1.0778,                 0.8425,                 1.0776,                  1.274,                 1.1258,                 1.0494,                0.77289,                0.61326,                0.70041,                0.45569,                 1.3109,                 1.0417,                 1.1634,                 1.4584,                 1.3093,                 1.1285,             0.00020563,             0.00020563,             0.00020563
                     40,                 1.0689,                0.82995,                 1.0768,                 1.2757,                 1.1077,                 1.0494,                 0.7205,                0.64653,                0.70249,                0.46192,                 1.2972,                 1.0083,                 1.1576,                 1.4686,                 1.2632,                 1.1283,              0.0001904,              0.0001904,              0.0001904
                     41,                 1.0846,                0.82168,                 1.0676,                 1.2747,                 1.0634,                 1.0399,                0.73058,                 0.6565,                0.70622,                0.45923,                 1.2898,                  1.041,                 1.1592,                 1.4496,                 1.2839,                 1.1176,             0.00017518,             0.00017518,             0.00017518
                     42,                 1.0579,                0.78311,                 1.0656,                 1.2419,                 1.0151,                 1.0351,                0.65533,                0.70044,                0.71183,                0.46455,                 1.2996,                 1.0271,                 1.1634,                 1.4681,                 1.2535,                 1.1257,             0.00015995,             0.00015995,             0.00015995
                     43,                 1.0412,                0.75928,                 1.0498,                 1.2257,                0.98961,                 1.0239,                0.71549,                0.66313,                0.71618,                0.46172,                 1.2998,                 1.0265,                 1.1577,                 1.4589,                 1.2869,                  1.119,             0.00014473,             0.00014473,             0.00014473
                     44,                 1.0361,                0.76016,                 1.0471,                 1.2281,                 0.9897,                 1.0221,                0.70912,                0.68782,                0.72456,                0.47333,                 1.3047,                 1.0108,                 1.1616,                 1.4739,                 1.2475,                 1.1267,              0.0001295,              0.0001295,              0.0001295
                     45,                 1.0387,                0.76464,                 1.0505,                 1.2299,                0.99207,                 1.0246,                0.72386,                0.66303,                0.71332,                0.46467,                 1.2963,                 1.0098,                  1.162,                 1.4464,                 1.2433,                 1.1168,             0.00011427,             0.00011427,             0.00011427
                     46,                 1.0252,                0.75066,                 1.0472,                 1.2102,                  0.979,                 1.0213,                0.73998,                0.66355,                0.72458,                0.47144,                 1.2886,                0.99793,                 1.1558,                 1.4531,                 1.2436,                 1.1157,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                 1.0328,                0.74321,                 1.0524,                  1.221,                 0.9738,                 1.0261,                 0.7347,                0.67819,                0.72476,                0.47666,                  1.279,                0.99943,                 1.1515,                 1.4393,                 1.2353,                 1.1103,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                 1.0161,                0.73353,                 1.0438,                 1.2103,                 0.9706,                 1.0217,                 0.7327,                0.68608,                 0.7214,                0.47204,                 1.2866,                 1.0082,                 1.1517,                 1.4528,                 1.2303,                 1.1131,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                 1.0151,                0.73483,                 1.0455,                  1.201,                0.96687,                 1.0267,                0.73316,                0.68908,                0.72203,                0.47499,                 1.2798,                0.99128,                 1.1473,                 1.4489,                  1.225,                 1.1134,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                 1.0018,                0.71443,                 1.0345,                 1.1879,                0.93772,                 1.0134,                0.75475,                0.67095,                0.72614,                0.47937,                 1.2765,                0.99475,                 1.1475,                 1.4427,                 1.2256,                 1.1126,             3.8142e-05,             3.8142e-05,             3.8142e-05
